OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-33842,2025-091H,2025-05-07T22:00:01.999584,15.93369432,.0001913,43.0006,348.7983,266.3877,347.7051,0,U,63782,999,212,-.22045E-2,-.81714E-2,.21203E-3
STARLINK-33892,2025-091J,2025-05-07T22:00:01.999584,15.93473839,.0001921,43.0007,348.7941,255.4149,0.3655,0,U,63783,999,203,-.21937E-2,-.817645E-2,.21249E-3
STARLINK-33933,2025-091K,2025-05-07T22:00:01.999584,15.93590961,.0001891,43.0007,348.7899,265.0150,352.5377,0,U,63784,999,214,-.22078E-2,-.827942E-2,.21763E-3
STARLINK-33906,2025-091L,2025-05-07T22:00:01.999584,15.93672113,.0002013,43.0007,348.7860,266.3205,352.5917,0,U,63785,999,198,-.22027E-2,-.829604E-2,.2186E-3
STARLINK-33923,2025-091M,2025-05-07T22:00:01.999584,15.93759608,.0002066,43.0008,348.7827,268.5545,351.7944,0,U,63786,999,198,-.21992E-2,-.832137E-2,.22001E-3
STARLINK-33947,2025-091N,2025-05-07T22:00:01.999584,15.93852944,.0001833,43.0009,348.7792,258.5116,3.3064,0,U,63787,999,203,-.22067E-2,-.839039E-2,.22355E-3
STARLINK-33882,2025-091P,2025-05-08T06:00:02.000160,15.93454564,.0002106,43.0007,346.6938,262.3728,115.9875,0,U,63788,999,207,-.24317E-2,-.904712E-2,.25539E-3
STARLINK-33875,2025-091Q,2025-05-08T04:00:00.999936,15.93656145,.0001789,43.0006,347.2100,267.8993,353.2787,0,U,63789,999,206,-.22667E-2,-.852759E-2,.22979E-3
STARLINK-33869,2025-091R,2025-05-07T22:00:01.999584,15.94143831,.0001996,43.0008,348.7672,266.4451,359.9853,0,U,63790,999,198,-.22166E-2,-.855872E-2,.23244E-3
STARLINK-33935,2025-091S,2025-05-08T04:00:00.999936,15.93843027,.0002093,43.0006,347.2020,270.6588,353.6951,0,U,63791,999,217,-.22889E-2,-.869624E-2,.23856E-3
STARLINK-33916,2025-091T,2025-05-07T22:00:01.999584,15.94340321,.0001769,43.0008,348.7594,265.4645,4.0701,0,U,63792,999,203,-.22017E-2,-.859039E-2,.23447E-3
STARLINK-33925,2025-091U,2025-05-07T22:00:01.999584,15.94423640,.0001825,43.0009,348.7561,264.5348,6.3224,0,U,63793,999,214,-.22161E-2,-.868457E-2,.23937E-3
STARLINK-33870,2025-091V,2025-05-07T22:00:01.999584,15.94530058,.0001737,43.0011,348.7523,262.3263,10.1813,0,U,63794,999,203,-.22011E-2,-.867511E-2,.23915E-3
STARLINK-33867,2025-091W,2025-05-07T22:00:01.999584,15.94653621,.0001573,43.0012,348.7476,258.5609,15.7414,0,U,63795,999,203,-.22123E-2,-.877623E-2,.24456E-3
STARLINK-33918,2025-091X,2025-05-07T22:00:01.999584,15.94714300,.0001675,43.0012,348.7457,259.6252,15.7442,0,U,63796,999,208,-.22118E-2,-.880285E-2,.24606E-3
STARLINK-33712,2025-091Y,2025-05-07T22:00:01.999584,15.90816939,.0001697,43.0012,348.7695,267.7779,357.9075,0,U,63797,999,203,-.60855E-2,-.1717135E-1,0
